group,sample_index,time_sec,t_value,uncorrected_p_value,cluster_id,in_significant_cluster_fwer
bci,256,0.0,-0.6330155798945108,0.5362556132303838,,False
bci,257,0.001953125,-0.7390820617554111,0.47126528650222044,,False
bci,258,0.00390625,-0.8392264371207504,0.4145175973262373,,False
bci,259,0.005859375,-0.9362795692922948,0.3639596919388729,,False
bci,260,0.0078125,-1.0324335742488226,0.3182290390641399,,False
bci,261,0.009765625,-1.1291148100918116,0.27658397164524207,,False
bci,262,0.01171875,-1.2268935731058932,0.23877216104748938,,False
bci,263,0.013671875,-1.325177546379618,0.20494448107288896,,False
bci,264,0.015625,-1.4217801225967432,0.17554891073794493,,False
bci,265,0.017578125,-1.5125062904109146,0.15118632932006845,,False
bci,266,0.01953125,-1.5904463320405193,0.13258512365409256,,False
bci,267,0.021484375,-1.6459539141794384,0.12055946792347491,,False
bci,268,0.0234375,-1.6681552788848235,0.11601941692972818,,False
bci,269,0.025390625,-1.6480302538127405,0.1201284646469175,,False
bci,270,0.02734375,-1.5823332824596028,0.13442597241447976,,False
bci,271,0.029296875,-1.4758634745222452,0.16066291687411727,,False
bci,272,0.03125,-1.3399100921755895,0.20022081929139637,,False
bci,273,0.033203125,-1.1879305600285468,0.2533308451781937,,False
bci,274,0.03515625,-1.0317657011351666,0.3185317552764194,,False
bci,275,0.037109375,-0.8798760425402251,0.39280510595064244,,False
bci,276,0.0390625,-0.7374227829697539,0.4722439356850643,,False
bci,277,0.041015625,-0.6072777523828764,0.552749259367437,,False
bci,278,0.04296875,-0.49098589782038393,0.6305419813418629,,False
bci,279,0.044921875,-0.3894878818737735,0.7023892679942668,,False
bci,280,0.046875,-0.3035816365571111,0.7656168680688344,,False
bci,281,0.048828125,-0.23393123898696053,0.8182011050305156,,False
bci,282,0.05078125,-0.18076893926123044,0.8589687025926502,,False
bci,283,0.052734375,-0.14378815929165542,0.887581702579908,,False
bci,284,0.0546875,-0.12215944808527307,0.9043943382382549,,False
bci,285,0.056640625,-0.11445352036239705,0.9103962632717093,,False
bci,286,0.05859375,-0.11900392628609403,0.9068513768707651,,False
bci,287,0.060546875,-0.13404952223042377,0.8951454400050789,,False
bci,288,0.0625,-0.15810972004942028,0.8764792230448111,,False
bci,289,0.064453125,-0.190084600952446,0.8517913474795173,,False
bci,290,0.06640625,-0.22933585560230393,0.8217055813853454,,False
bci,291,0.068359375,-0.27550897508098277,0.786684352173016,,False
bci,292,0.0703125,-0.3282745822527077,0.747241847460514,,False
bci,293,0.072265625,-0.3866704938543355,0.7044302719927218,,False
bci,294,0.07421875,-0.4483021186798889,0.6603427981699519,,False
bci,295,0.076171875,-0.5085355591143865,0.6184750291579446,,False
bci,296,0.078125,-0.5610518240018072,0.5830471957356345,,False
bci,297,0.080078125,-0.6002966447359078,0.5572699026948091,,False
bci,298,0.08203125,-0.6247961201004492,0.5414931169080619,,False
bci,299,0.083984375,-0.6382916729939316,0.5329085124028702,,False
bci,300,0.0859375,-0.6472569657284113,0.5272478443231068,,False
bci,301,0.087890625,-0.6579088480192964,0.5205664604163034,,False
bci,302,0.08984375,-0.6748844206363827,0.5100186648160546,,False
bci,303,0.091796875,-0.7012135399989334,0.4939055629916368,,False
bci,304,0.09375,-0.7389018527216606,0.47137151476799566,,False
bci,305,0.095703125,-0.7891974846960981,0.44229304662470703,,False
bci,306,0.09765625,-0.8531179146773619,0.4070109287551823,,False
bci,307,0.099609375,-0.9314673028880961,0.36636243574028315,,False
bci,308,0.1015625,-1.024671463783485,0.32176008092238184,,False
bci,309,0.103515625,-1.1324243197386803,0.27523421321861063,,False
bci,310,0.10546875,-1.2532716371406516,0.2292909143967479,,False
bci,311,0.107421875,-1.3839964422400215,0.186607587752884,,False
bci,312,0.109375,-1.5187140029379111,0.149628253638629,,False
bci,313,0.111328125,-1.6484002679259495,0.12005179740789391,,False
bci,314,0.11328125,-1.7614919780675615,0.09851836666286158,,False
bci,315,0.115234375,-1.8459831487033789,0.08472293961311826,,False
bci,316,0.1171875,-1.8924281909380265,0.07789603235765517,,False
bci,317,0.119140625,-1.8971947425215725,0.07722406333569161,,False
bci,318,0.12109375,-1.8632410401836539,0.08212621047410537,,False
bci,319,0.123046875,-1.7984379225672558,0.09225884825363236,,False
bci,320,0.125,-1.71264727572922,0.10736530197119061,,False
bci,321,0.126953125,-1.615423936376185,0.12705227055896745,,False
bci,322,0.12890625,-1.5147524409889968,0.15062100133629533,,False
bci,323,0.130859375,-1.4167571559070322,0.17698731356540642,,False
bci,324,0.1328125,-1.3263050553975368,0.20457984067146237,,False
bci,325,0.134765625,-1.2472845275426905,0.23141661401085473,,False
bci,326,0.13671875,-1.1830896309245147,0.25518635962998915,,False
bci,327,0.138671875,-1.1370823382970978,0.27334288042794475,,False
bci,328,0.140625,-1.1123624118725814,0.2834926485107973,,False
bci,329,0.142578125,-1.1117532958269034,0.2837462553638671,,False
bci,330,0.14453125,-1.1377032535931195,0.27309150670073207,,False
bci,331,0.146484375,-1.1919335528878918,0.25180434623201114,,False
bci,332,0.1484375,-1.2750046859926951,0.22170324571887579,,False
