subject_id,group,session_id,threshold_type,slope_per_run_within_session,intercept,n_runs,first_run,last_run
e21,experimental,1,distractor,0.0060000000000000045,0.20066666666666672,6,1,6
e21,experimental,1,no_distractor,0.011714285714285731,0.21400000000000005,6,1,6
e21,experimental,2,distractor,0.01761904761904762,0.22696428571428573,8,1,8
e21,experimental,2,no_distractor,0.018452380952380963,0.27321428571428563,8,1,8
e21,experimental,3,distractor,0.016607142857142848,0.3421428571428571,8,1,8
e21,experimental,3,no_distractor,0.0014285714285714231,0.38857142857142857,8,1,8
e21,experimental,4,distractor,0.005416666666666656,0.45375,8,1,8
e21,experimental,4,no_distractor,-0.014285714285714273,0.3767857142857143,8,1,8
e21,experimental,5,distractor,0.0037142857142856856,0.48366666666666674,6,1,6
e21,experimental,5,no_distractor,0.005999999999999992,0.23066666666666683,6,1,6
e22,experimental,1,distractor,0.008571428571428577,0.21333333333333343,6,1,6
e22,experimental,1,no_distractor,0.014285714285714311,0.2,6,1,6
e22,experimental,2,distractor,0.01690476190476191,0.26017857142857137,8,1,8
e22,experimental,2,no_distractor,0.012499999999999997,0.2975,8,1,8
e22,experimental,3,distractor,-0.0007738095238094901,0.40410714285714266,8,1,8
e22,experimental,3,no_distractor,-0.01559523809523812,0.4464285714285715,8,1,8
e22,experimental,4,distractor,-0.0026785714285714212,0.40142857142857136,8,1,8
e22,experimental,4,no_distractor,0.009523809523809539,0.302142857142857,8,1,8
e22,experimental,5,distractor,0.01757142857142859,0.3410000000000001,6,1,6
e22,experimental,5,no_distractor,0.007428571428571447,0.37399999999999994,6,1,6
e23,control,1,distractor,-0.006142857142857146,0.209,6,1,6
e23,control,1,no_distractor,-0.003428571428571431,0.192,6,1,6
e23,control,2,distractor,0.00011904761904761924,0.19071428571428575,8,1,8
e23,control,2,no_distractor,-0.0029761904761904734,0.1471428571428571,8,1,8
e23,control,3,distractor,0.013511904761904768,0.14857142857142852,8,1,8
e23,control,3,no_distractor,0.007023809523809525,0.11714285714285713,8,1,8
e23,control,4,distractor,-0.010119047619047616,0.2780357142857143,8,1,8
e23,control,4,no_distractor,0.0011904761904761808,0.1821428571428571,8,1,8
e23,control,5,distractor,0.015428571428571448,0.1726666666666667,6,1,6
e23,control,5,no_distractor,0.007428571428571441,0.174,6,1,6
e24,control,1,distractor,0.012285714285714292,0.19199999999999998,6,1,6
e24,control,1,no_distractor,0.0342857142857143,0.1833333333333335,6,1,6
e24,control,2,distractor,0.010297619047619057,0.23303571428571418,8,1,8
e24,control,2,no_distractor,0.0080952380952381,0.3585714285714286,8,1,8
e24,control,3,distractor,-0.0014285714285714075,0.3339285714285713,8,1,8
e24,control,3,no_distractor,0.003809523809523808,0.42285714285714276,8,1,8
e24,control,4,distractor,-0.006011904761904768,0.34642857142857136,8,1,8
e24,control,4,no_distractor,0.0016666666666666694,0.4599999999999999,8,1,8
e24,control,5,distractor,-0.010571428571428582,0.2803333333333334,6,1,6
e24,control,5,no_distractor,0.0022857142857142833,0.46199999999999997,6,1,6
e25,experimental,1,distractor,0.011285714285714298,0.19966666666666666,6,1,6
e25,experimental,1,no_distractor,0.019428571428571448,0.17533333333333337,6,1,6
e25,experimental,2,distractor,0.0003571428571428616,0.25464285714285717,8,1,8
e25,experimental,2,no_distractor,0.012500000000000004,0.265,8,1,8
e25,experimental,3,distractor,-0.00565476190476191,0.24982142857142856,8,1,8
e25,experimental,3,no_distractor,-7.773115951059726e-18,0.35999999999999993,8,1,8
e25,experimental,4,distractor,-0.012797619047619047,0.22571428571428578,8,1,8
e25,experimental,4,no_distractor,0.004404761904761897,0.34142857142857147,8,1,8
e25,experimental,5,distractor,0.010285714285714289,0.12733333333333338,6,1,6
e25,experimental,5,no_distractor,0.009142857142857156,0.35800000000000004,6,1,6
e26,experimental,1,distractor,-0.004999999999999998,0.2066666666666667,6,1,6
e26,experimental,1,no_distractor,0.002857142857142854,0.19333333333333333,6,1,6
e26,experimental,2,distractor,0.013630952380952388,0.1755357142857142,8,1,8
e26,experimental,2,no_distractor,-0.001190476190476173,0.23285714285714276,8,1,8
e26,experimental,3,distractor,-0.0030357142857142714,0.2805357142857142,8,1,8
e26,experimental,3,no_distractor,-0.0019047619047619117,0.18607142857142855,8,1,8
e26,experimental,4,distractor,-0.003511904761904764,0.26642857142857146,8,1,8
e26,experimental,4,no_distractor,0.0035714285714285813,0.1464285714285714,8,1,8
e26,experimental,5,distractor,0.0015714285714285763,0.2386666666666667,6,1,6
e26,experimental,5,no_distractor,0.010000000000000007,0.11000000000000006,6,1,6
e27,control,1,distractor,-0.018000000000000016,0.21800000000000003,5,1,5
e27,control,1,no_distractor,-1.8712805262645125e-17,0.19999999999999993,5,1,5
e27,control,2,distractor,0.016011904761904762,0.14857142857142855,8,1,8
e27,control,2,no_distractor,0.018452380952380953,0.21571428571428566,8,1,8
e27,control,3,distractor,-0.0007142857142857155,0.23071428571428565,8,1,8
e27,control,3,no_distractor,0.0,0.3649999999999999,8,1,8
e27,control,4,distractor,-0.0022023809523809444,0.2417857142857143,8,1,8
e27,control,4,no_distractor,-0.0016666666666666694,0.34,8,1,8
e27,control,5,distractor,-0.008571428571428565,0.24666666666666662,6,1,6
e27,control,5,no_distractor,0.005714285714285708,0.3300000000000002,6,1,6
e29,experimental,1,distractor,-0.006571428571428566,0.24466666666666664,6,1,6
e29,experimental,1,no_distractor,0.007142857142857151,0.21666666666666673,6,1,6
e29,experimental,2,distractor,0.00023809523809523847,0.16017857142857136,8,1,8
e29,experimental,2,no_distractor,0.01595238095238095,0.21321428571428572,8,1,8
e29,experimental,3,distractor,0.003452380952380956,0.16571428571428565,8,1,8
e29,experimental,3,no_distractor,7.773115951059726e-18,0.35249999999999987,8,1,8
e29,experimental,4,distractor,0.004345238095238083,0.19232142857142864,8,1,8
e29,experimental,4,no_distractor,0.011904761904761913,0.34142857142857136,8,1,8
e29,experimental,5,distractor,-0.01428571428571429,0.26666666666666666,6,1,6
e29,experimental,5,no_distractor,0.0028571428571428745,0.4433333333333333,6,1,6
e30,experimental,1,distractor,0.00599999999999999,0.1940000000000001,6,1,6
e30,experimental,1,no_distractor,0.0185714285714286,0.17666666666666664,6,1,6
e30,experimental,2,distractor,0.003452380952380958,0.23571428571428565,8,1,8
e30,experimental,2,no_distractor,-0.005238095238095243,0.3135714285714286,8,1,8
e30,experimental,3,distractor,-0.008333333333333328,0.29374999999999996,8,1,8
e30,experimental,3,no_distractor,-0.006785714285714269,0.2542857142857142,8,1,8
e30,experimental,4,distractor,0.0038095238095238234,0.2178571428571427,8,1,8
e30,experimental,4,no_distractor,0.012499999999999995,0.13250000000000003,8,1,8
e30,experimental,5,distractor,0.011857142857142884,0.22766666666666668,6,1,6
e30,experimental,5,no_distractor,0.014571428571428575,0.1506666666666667,6,1,6
e31,experimental,1,distractor,0.00357142857142857,0.1866666666666668,6,1,6
e31,experimental,1,no_distractor,0.020000000000000035,0.19666666666666663,6,1,6
e31,experimental,2,distractor,-0.00041666666666666734,0.21875000000000003,8,1,8
e31,experimental,2,no_distractor,-0.010595238095238093,0.31392857142857145,8,1,8
e31,experimental,3,distractor,-0.008154761904761903,0.23607142857142854,8,1,8
e31,experimental,3,no_distractor,0.005476190476190481,0.23285714285714276,8,1,8
e31,experimental,4,distractor,0.00011904761904761535,0.18446428571428572,8,1,8
e31,experimental,4,no_distractor,-0.0035714285714285774,0.28107142857142864,8,1,8
e31,experimental,5,distractor,0.008000000000000009,0.17533333333333337,6,1,6
e31,experimental,5,no_distractor,-0.0014285714285714258,0.21999999999999997,6,1,6
e32,experimental,1,distractor,0.011285714285714284,0.1813333333333334,6,1,6
e32,experimental,1,no_distractor,0.018571428571428596,0.19333333333333333,6,1,6
e32,experimental,2,distractor,0.015238095238095233,0.23267857142857146,8,1,8
e32,experimental,2,no_distractor,-0.0026190476190476116,0.3042857142857143,8,1,8
e32,experimental,3,distractor,-0.010833333333333335,0.34875,8,1,8
e32,experimental,3,no_distractor,-0.005476190476190485,0.2696428571428572,8,1,8
e32,experimental,4,distractor,-0.004761904761904766,0.28392857142857136,8,1,8
e32,experimental,4,no_distractor,0.011785714285714297,0.2057142857142856,8,1,8
e32,experimental,5,distractor,0.002999999999999996,0.24533333333333332,6,1,6
e32,experimental,5,no_distractor,-0.004571428571428567,0.31266666666666676,6,1,6
e33,control,1,distractor,0.013428571428571436,0.1946666666666667,6,1,6
e33,control,1,no_distractor,0.014857142857142881,0.18799999999999997,6,1,6
e33,control,2,distractor,0.014107142857142853,0.2746428571428572,8,1,8
e33,control,2,no_distractor,0.001904761904761904,0.2839285714285715,8,1,8
